"time" "cumhaz"
"1" 73 0.00151515151515152
"2" 74 0.00303260219800432
"3" 87 0.00457581207454753
"4" 96 0.00614321019366979
"5" 145 0.00791312169809457
"6" 152 0.00969248112869955
"7" 175 0.0115864205226389
"8" 184 0.0135021293348995
"9" 195 0.0154552543348995
"10" 235 0.0176011770816806
"11" 286 0.0199596676477183
"12" 380 0.0226121875416175
"13" 411 0.0254133079897968
"14" 433 0.0282868712081876
"15" 439 0.0312108478163747
"16" 463 0.0341782068668198
"17" 472 0.0371543973430103
"18" 477 0.0401305878192008
"19" 485 0.0431426360119719
"20" 602 0.0464538942901176
"21" 603 0.0497761534263302
"22" 607 0.0531094867596635
"23" 616 0.0564207450378092
"24" 630 0.0597877484048126
"25" 678 0.0632360242668816
"26" 686 0.0667203448243729
"27" 724 0.0702291167541974
"28" 725 0.073737888684022
"29" 727 0.0772714575886156
"30" 743 0.0808428861600442
"31" 832 0.084659680053174
"32" 844 0.088491097677695
"33" 893 0.0923821482613526
"34" 923 0.0963821482613526
"35" 930 0.100398212518381
"36" 933 0.104446795514332
"37" 940 0.108495378510284
"38" 956 0.112610604847732
"39" 988 0.116812285520001
"40" 1077 0.121160111606958
"41" 1148 0.125705566152412
"42" 1156 0.130271776198074
"43" 1183 0.134901405827704
"44" 1296 0.139901405827704
"45" 1330 0.144876530205813
"46" 1364 0.150112132300054
"47" 1623 0.156209693275664
"48" 1870 0.163352550418521
"49" 1972 0.170928307994279
"50" 2024 0.179058389295092
"51" 2029 0.187188470595905
"52" 2045 0.195591831940442
"53" 2250 0.205591831940442
"54" 2365 0.215901110290958
"55" 2400 0.226105191923611
"56" 2436 0.236414470274126
"57" 3224 0.252287486147142
"58" 3418 0.269236638689515
