"time" "cumhaz"
"1" 22 0.00141643059490085
"3" 26 0.00424332101543826
"4" 29 0.00565375825098128
"5" 30 0.00707018884588213
"6" 31 0.00849469027038355
"7" 33 0.00992326169895498
"8" 34 0.0113621106198183
"9" 36 0.0128051120628197
"11" 37 0.0156973767709164
"12" 40 0.0171487555807858
"13" 43 0.0186022439528788
"14" 44 0.0200452453958802
"16" 46 0.0229396074634014
"19" 48 0.0272979630174568
"21" 51 0.0302134211077468
"23" 55 0.0331438381930444
"25" 56 0.0360871804784122
"27" 58 0.0390413966729279
"28" 59 0.0405206866137563
"29" 61 0.0420043661389789
"30" 62 0.043490250240019
"31" 63 0.0449739297652416
"32" 65 0.0464642427309644
"33" 66 0.0479590110418762
"34" 68 0.0494560170299001
"35" 72 0.0509643126558428
"37" 74 0.0539923373568225
"39" 75 0.057031851034634
"40" 76 0.0585539210498547
"41" 77 0.0600759910650754
"42" 79 0.0615980610802961
"43" 80 0.0631247786375481
"46" 81 0.0677119417507146
"47" 82 0.0692409937384821
"48" 84 0.070777092048774
"51" 85 0.075392483946834
"53" 87 0.0784741553618388
"55" 88 0.0815701380128338
"56" 89 0.083120525609733
"57" 90 0.0846733206407889
"58" 91 0.0862237082376882
"61" 93 0.0908869231754315
"62" 94 0.0924445555741854
"63" 95 0.0940046179766815
"64" 96 0.0955720160958037
"66" 97 0.0987142018525447
"67" 98 0.100289005002151
"68" 99 0.101871283483164
"70" 101 0.105045894656283
"71" 102 0.106640790988022
"72" 106 0.108238235077479
"74" 107 0.111440799180043
"77" 111 0.11627439820139
"80" 114 0.121144536627879
"81" 118 0.122778523555984
"82" 119 0.124412510484088
"83" 120 0.126051854746383
"84" 123 0.127699301204374
"85" 124 0.129344038046479
"87" 125 0.132641649520971
"88" 126 0.134302779089077
"90" 127 0.137627802167998
"92" 130 0.140963936481489
"93" 131 0.142641788830483
"94" 132 0.14432246109939
"97" 133 0.149384350801028
"98" 134 0.151076398178354
"99" 135 0.152777078450463
"102" 136 0.157893625246517
"103" 137 0.159600109888155
"104" 138 0.161306594529793
"105" 140 0.163018923296916
"109" 142 0.169912703052197
"113" 144 0.176911984207609
"115" 146 0.180442437090241
"116" 148 0.182203000470523
"118" 150 0.185742867835139
"119" 152 0.187522227265744
"120" 153 0.189301586696349
"121" 154 0.191084117890645
"123" 155 0.194655546462073
"125" 156 0.198236569923067
"126" 157 0.200035131074146
"127" 158 0.20184344933816
"128" 159 0.203658331370828
"129" 160 0.20547651318901
"130" 162 0.207298006813782
"134" 163 0.214617342113753
"136" 164 0.218293812701988
"138" 167 0.221990720897712
"139" 168 0.223856392539503
"140" 171 0.225739631710878
"141" 173 0.227626424163708
"142" 174 0.229513216616539
"145" 175 0.235191454572659
"146" 176 0.23708898777949
"148" 177 0.240894890368663
"149" 178 0.242803287315228
"151" 179 0.246627379093431
"152" 181 0.248539424982532
"153" 183 0.250447821929097
"155" 184 0.254275576630459
"156" 185 0.256198653553536
"158" 186 0.260063420323263
"159" 189 0.262020367485689
"161" 192 0.26594193611314
"162" 194 0.267898883275567
"163" 195 0.269852008275567
"164" 196 0.271812792589292
"165" 198 0.2737812965263
"168" 201 0.279714094683179
"169" 204 0.281690379268159
